@RELATION music

@ATTRIBUTE escala {C+,B,A,F+,E,D,E-,B-,F,G,C,A-,D-}
@ATTRIBUTE armadura {2/8,3/8,1/4,9/8,2/2,3/4,4/4,6/8,2/4}
@ATTRIBUTE g1 NUMERIC
@ATTRIBUTE g2 NUMERIC
@ATTRIBUTE g3 NUMERIC
@ATTRIBUTE g4 NUMERIC
@ATTRIBUTE g5 NUMERIC
@ATTRIBUTE g6 NUMERIC
@ATTRIBUTE g7 NUMERIC
@ATTRIBUTE g8 NUMERIC
@ATTRIBUTE g9 NUMERIC
@ATTRIBUTE g10 NUMERIC
@ATTRIBUTE g11 NUMERIC
@ATTRIBUTE g12 NUMERIC
@ATTRIBUTE acorde1 NUMERIC
@ATTRIBUTE acorde2 NUMERIC
@ATTRIBUTE acorde3 NUMERIC
@ATTRIBUTE acorde4 NUMERIC
@ATTRIBUTE acorde5 NUMERIC
@ATTRIBUTE RHSonidos NUMERIC
@ATTRIBUTE LHSonidos NUMERIC
@ATTRIBUTE AmbasSonidos NUMERIC
@ATTRIBUTE RHSilencios NUMERIC
@ATTRIBUTE LHSilencios NUMERIC
@ATTRIBUTE AmbasSilencios NUMERIC
@ATTRIBUTE MasRuidosa {R,L,B}
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE O3 NUMERIC
@ATTRIBUTE O4 NUMERIC
@ATTRIBUTE O5 NUMERIC
@ATTRIBUTE O6 NUMERIC
@ATTRIBUTE O7 NUMERIC
@ATTRIBUTE RHMasGrave NUMERIC
@ATTRIBUTE RHMasAguda NUMERIC
@ATTRIBUTE LHMasGrave NUMERIC
@ATTRIBUTE LHMasAguda NUMERIC
@ATTRIBUTE RHAmplitud NUMERIC
@ATTRIBUTE LHAmplitud NUMERIC
@ATTRIBUTE TotalAmplitud NUMERIC
@ATTRIBUTE Compositor {Bach,Mozart,Muzio,Beethoven,Debussy,Joplin}

@DATA
E,"3/8",7,0,1,0,5,1,0,6,0,0,0,1,7,7,0,0,0,0.8333,1.0,1.0,0.1667,0.0,0.0,L,0,3,5,10,3,0,0,64,76,40,59,12,19,36,Bach
E,"4/4",19,0,15,14,0,11,0,17,6,2,10,3,33,24,0,0,0,0.9688,0.625,1.0,0.0313,0.375,0.0,R,0,2,17,32,45,1,0,64,84,40,66,20,26,44,Bach
E,"4/4",10,0,13,16,0,10,0,12,8,1,12,0,40,21,0,0,0,1.0,0.9063,1.0,0.0,0.0938,0.0,R,0,14,30,11,27,0,0,67,79,38,60,12,22,41,Bach
E,"4/4",21,0,16,15,0,9,4,10,4,7,17,0,31,28,0,0,0,1.0,0.875,1.0,0.0,0.125,0.0,R,0,6,27,32,38,0,0,62,83,38,67,21,29,45,Bach
E,"4/4",12,0,12,9,2,10,0,15,3,6,8,6,41,21,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,4,31,31,17,0,0,62,79,40,66,17,26,39,Bach
E,"4/4",17,0,16,17,0,14,0,19,9,3,3,12,34,30,0,0,0,1.0,0.9219,1.0,0.0,0.0781,0.0,R,0,10,34,48,18,0,0,59,79,42,64,20,22,37,Bach
E,"4/4",9,0,8,12,0,9,0,8,7,0,2,2,21,18,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,18,11,14,14,0,0,64,81,36,60,17,24,45,Bach
F,"3/4",16,0,4,0,15,9,0,18,0,6,0,4,22,17,0,0,0,0.9583,0.7083,0.9583,0.0417,0.2917,0.0417,R,0,0,12,30,24,6,0,65,84,53,65,19,12,31,Bach
F,"3/4",21,0,11,0,16,4,3,10,0,10,0,9,12,36,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,0,3,37,44,0,0,67,81,55,72,14,17,26,Bach
F,"3/4",13,0,12,0,8,2,8,17,0,9,0,12,15,25,0,0,0,0.8333,0.9583,1.0,0.1667,0.0417,0.0,L,0,1,27,37,16,0,0,60,74,43,67,14,24,31,Bach
